SlogP,SMR,TPSA,NumLipinskiHBD,NumRotatableBonds,NumHBA,NumAmideBonds,NumStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,HallKierAlpha,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA6,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN2,MQN5,MQN6,MQN8,MQN9,MQN10,MQN11,MQN14,MQN16,MQN27,MQN30,MQN35,MQN36,MQN41,activity
0.594479967410092,0.2344759532115931,0.04280251911830857,0.125,0.14705882352941177,0.047619047619047616,0.07142857142857142,0.0,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.4,0.0,0.7862595419847327,0.2245583233224385,0.1406261430844264,0.0,0.21001444978325343,0.34941723622756654,0.26889624140143925,0.17647058823529418,0.27999785955106454,0.3333333333333333,0.0,0.0,0.0,0.2512418789003396,0.19676415144635945,0.5672535370647463,0.16482918771939012,0.16733106739052156,0.2071850974777413,0.07142857142857142,0.0,0.0,0.0,0.27020106261444493,0.6743936056057119,0.4696240591055881,0.13600954781000507,0.07722106225397823,0.06958814011526651,0.0,0.07004216540897323,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.043478260869565216,0.0,0.043478260869565216,0.3269230769230769,0.0,0.0,0.25,0.42857142857142855,0.16666666666666666,0
0.4365933887039828,0.18007524861622914,0.3059154295996401,0.375,0.29411764705882354,0.38095238095238093,0.0,0.15384615384615385,0.375,0.33333333333333337,0.0,0.16666666666666666,0.0,0.25,0.6000000000000001,0.0,0.6259541984732824,0.06853954736355831,0.20151082034132758,0.11995639413541981,0.0,0.1814782528654346,0.2352842112262593,0.0,0.0,0.0,0.8888888888888891,0.0,0.629055636339156,0.0,0.0,0.0,0.6813664982448789,0.04439829438088021,0.45725265926862774,0.0,0.19360793728974834,0.0,0.0,0.06755026565361123,0.1894257574742614,0.23403572140739184,0.22201291149363264,0.25352012035805577,0.858306449003592,0.0,0.118789387495598,0.49486282624026684,0.0,0.0,0.0,0.0,0.0,0.3913043478260869,0.3333333333333333,0.043478260869565216,0.21153846153846156,0.6666666666666666,0.25,0.0,0.42857142857142855,0.16666666666666666,0
0.6245617615375214,0.24737936076680467,0.1076698155645524,0.1875,0.23529411764705882,0.19047619047619047,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.4,0.0,0.7204198473282444,0.23642043924962114,0.08206113555509373,0.07014894173469735,0.21001444978325343,0.22375899716282266,0.430830774425801,0.23529411764705893,0.4275836096268084,0.34098046078636973,0.0,0.0,0.0,0.24610545644808385,0.38771144311711536,0.37631157668687043,0.4983532095223058,0.04327190046708307,0.20981279876237524,0.07425085094023762,0.20125775729567166,0.0,0.0,0.5404021252288899,0.3824841094397953,0.34391990903501046,0.5425807702754654,0.1390470325172072,0.034794070057633256,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.3333333333333333,0.0,0.28846153846153844,0.0,0.75,0.25,0.42857142857142855,0.0,1
0.5613292383043593,0.22388576157664308,0.10733243364822312,0.1875,0.20588235294117646,0.14285714285714285,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.4,0.0,0.7452290076335877,0.22813019285116948,0.10327736688299902,0.07014894173469735,0.21001444978325343,0.212091835504963,0.33684610053755965,0.23529411764705893,0.4263952102688847,0.0,0.11363261026780935,0.0,0.0,0.3262786512193306,0.38771144311711536,0.2966851886994396,0.42256048044766104,0.08109340155950787,0.20968039962650084,0.0,0.40251551459134327,0.0,0.0,0.4728518595752786,0.3862379343598843,0.27541416917355316,0.503165695985161,0.10790709456310654,0.034794070057633256,0.07109977791963146,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.043478260869565216,0.0,0.0,0.2692307692307692,0.08333333333333333,0.5,0.25,0.42857142857142855,0.16666666666666666,0
0.45093326001123224,0.1472041421022569,0.06450742240215926,0.125,0.08823529411764705,0.047619047619047616,0.07142857142857142,0.0,0.375,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.2,0.0,0.7986641221374045,0.1536595875240199,0.10488615705289162,0.0,0.0,0.19749461507140367,0.271073637758721,0.17647058823529418,0.27999785955106454,0.0,0.0,0.0,0.0,0.33152743609210833,0.0,0.19716167964370804,0.16482918771939012,0.12502962058885903,0.15765535783885162,0.14567942236880904,0.0,0.0,0.0,0.13510053130722247,0.4310040870769416,0.3359679550346408,0.22201291149363264,0.015343016154564149,0.06958814011526651,0.0,0.07004216540897323,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.043478260869565216,0.0,0.043478260869565216,0.21153846153846156,0.0,0.25,0.25,0.2857142857142857,0.16666666666666666,1
0.41788379018143346,0.14433308608357687,0.10002249212775527,0.1875,0.11764705882352941,0.047619047619047616,0.07142857142857142,0.0,0.375,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.2,0.0,0.804389312977099,0.1536595875240199,0.12882328567329737,0.0,0.21001444978325343,0.19804988807990254,0.2031237786226006,0.23529411764705893,0.27999785955106454,0.0,0.0,0.0,0.0,0.41539607910745363,0.19676415144635945,0.2957425194655622,0.16482918771939012,0.125029620588859,0.15765535783885162,0.14728434469275486,0.0,0.08428744710995861,0.0,0.13510053130722247,0.3862379343598843,0.32010481545542074,0.17856811706331022,0.07722106225397823,0.10438221017289977,0.0,0.07004216540897323,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.043478260869565216,0.0,0.043478260869565216,0.21153846153846156,0.0,0.25,0.5,0.14285714285714285,0.16666666666666666,1
0.5166816867925974,0.17217858218254967,0.10962663067926226,0.125,0.14705882352941177,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.375,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.4,0.0,0.7604961832061068,0.07682979376200995,0.13616556708872699,0.051768350543606755,0.0,0.18290672636239533,0.26889624140143925,0.05882352941176473,0.128194318113634,0.3333333333333333,0.22222222222222227,0.1254576025984492,0.1797301818111874,0.078931315870907,0.0,0.1791498970431624,0.17034162456121973,0.289512619797323,0.20648560093128127,0.14285714285714285,0.0,0.0,0.8607224111942627,0.20265079696083368,0.33153283501412845,0.22552859705878497,0.2135008419528037,0.06539868925542439,0.3181811720504494,0.07142857142857141,0.10398199040771552,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.17391304347826086,0.0,0.08695652173913043,0.1923076923076923,0.16666666666666666,0.25,0.5,0.14285714285714285,0.16666666666666666,0
0.6523691165439749,0.2516908614417141,0.10137201979307242,0.125,0.2647058823529412,0.19047619047619047,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.4,0.0,0.7204198473282444,0.22813019285116948,0.08232270263690741,0.07014894173469735,0.21001444978325343,0.2625476182208512,0.430830774425801,0.17647058823529418,0.4275836096268084,0.0,0.11363261026780935,0.0,0.0,0.24610545644808385,0.38771144311711536,0.2966851886994396,0.5854568449849834,0.0,0.20402124633152482,0.0,0.40251551459134327,0.0,0.0,0.5404021252288899,0.4324308354598688,0.29688381848450085,0.587312257240681,0.1377001868560218,0.0,0.07109977791963146,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.043478260869565216,0.3333333333333333,0.0,0.28846153846153844,0.08333333333333333,0.75,0.25,0.42857142857142855,0.0,1
0.6353965040624449,0.24726773959418175,0.1076698155645524,0.1875,0.23529411764705882,0.19047619047619047,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.25,0.4,0.0,0.7137404580152671,0.23642043924962114,0.08206113555509373,0.07014894173469735,0.41729459996720736,0.21792541633389287,0.39721874425062104,0.23529411764705893,0.4275836096268084,0.5982993084743965,0.0,0.0,0.0,0.24610545644808385,0.38771144311711536,0.37631157668687043,0.4983532095223058,0.04327190046708307,0.20981279876237524,0.07425085094023762,0.37854686124716175,0.0,0.0,0.3377513282680562,0.477196988176926,0.34391990903501046,0.4549591374486704,0.2641429942099304,0.034794070057633256,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.25,0.0,0.3333333333333333,0.0,0.28846153846153844,0.0,0.75,0.25,0.42857142857142855,0.0,1
0.5941372437069313,0.24261898351913325,0.04280251911830857,0.125,0.1764705882352941,0.047619047619047616,0.07142857142857142,0.0,0.5,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.4,0.0,0.8015267175572518,0.1536595875240199,0.1612562205971943,0.07014894173469735,0.21001444978325343,0.3847609555246654,0.26889624140143925,0.17647058823529418,0.27999785955106454,0.0,0.0,0.0,0.0,0.3301731947712466,0.19676415144635945,0.4929041991092701,0.16482918771939012,0.125029620588859,0.15765535783885162,0.14442697331110083,0.0,0.0,0.0,0.4089964357163932,0.7225291426996953,0.4012604079484631,0.13600954781000507,0.07722106225397823,0.06958814011526651,0.0,0.07004216540897323,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.043478260869565216,0.0,0.043478260869565216,0.3269230769230769,0.0,0.0,0.25,0.42857142857142855,0.16666666666666666,0
