"Molecule ChEMBL ID","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","Target ChEMBL ID","Energy","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
"CHEMBL4868925","O=C(NCC1CCNCC1)c1cc2cc(-c3ccncc3)ccc2[nH]1","IC50","'='",37000,"nM","CHEMBL4523954",-5.521284954521502,2.9593000000000007,99.45660000000004,177.49250127417068,69.81,334.4229999999996,334.17936132400064,5,3,4,3,3,1,5,25,47,0,0,4,3,1,1,2,1,1,1,0,0,0.3,12.197102672463696,6.742978527231764,4.5085967497833455,2.9287538174129,1.8527379550501653,17.58461931373164,4.5085967497833455,2.9287538174129,1.8527379550501653,-2.6599999999999997,4.539578095446668,7.069085296076049,3.561646784249491,10.619626706576751,35.3587405734758,0,5.893957685363079,49.27872754881326,48.60030266760929,4.235526234984602,22.029827915475046,0,0,0,0,35.0744759862906,0,20.58060849775321,5.893957685363079,12.745849802658759,19.490579052947837,54.29423066245775,0,11.126902983393991,16.81010466143256,15.596629976806003,9.77851570501903,0,0,0,6.042418707663295,72.9725233783642,44.82391915589897,10.96606844936176,7.105770073176662,2.8236841566564013,0,5.907179729351506,0,20,0,0,0,0,0,0,1,3,1,0,25,27,1,0,14,8,0,4,6,5,0,0,0,0,1,0,2,1,1,15,5,0,0,1,3,0,0,0,0,2,1
"CHEMBL4855758","O=C(NCC1CCNCC1)c1cc2ccc(-c3ccncc3)cc2[nH]1","IC50","'='",19700,"nM","CHEMBL4523954",-3.3346424073928196,2.9593000000000007,99.45660000000004,177.49250127417068,69.81,334.4229999999996,334.17936132400064,5,3,4,3,3,1,5,25,47,0,0,4,3,1,1,2,1,1,1,0,0,0.3,12.197102672463696,6.742978527231764,4.5085967497833455,2.9287538174129,1.8494388047689125,17.58461931373164,4.5085967497833455,2.9287538174129,1.8494388047689125,-2.6599999999999997,4.539578095446668,7.069085296076049,3.561646784249491,10.619626706576751,35.3587405734758,0,5.893957685363079,49.27872754881326,48.60030266760929,4.235526234984602,22.029827915475046,0,0,0,0,35.0744759862906,0,20.58060849775321,5.893957685363079,12.745849802658759,19.490579052947837,54.29423066245775,0,11.126902983393991,16.81010466143256,15.596629976806003,9.77851570501903,0,0,0,12.08483741532659,66.9301046707009,44.82391915589897,10.96606844936176,7.105770073176662,2.8236841566564013,0,5.907179729351506,0,20,0,0,0,0,0,0,1,3,1,0,25,27,1,0,14,8,0,4,6,5,0,0,0,0,1,0,2,1,1,15,5,0,0,1,3,0,0,0,0,2,1
"CHEMBL4849553","CC(C)(C)c1ccc(-c2ccc3cc(C(=O)NCC4CCNCC4)[nH]c3c2)cc1","IC50","'='",5100,"nM","CHEMBL4523954",17.20305902398489,4.861800000000003,120.36160000000005,216.3773562523209,56.92,389.54299999999955,389.2467126120009,4,3,4,3,2,1,4,29,60,0,0,4,3,1,1,1,1,1,2,0,0,0.4,14.249889076963738,7.7957649317318065,5.548186553158375,3.455147019662918,2.1225328567376796,23.137405718231676,5.548186553158375,3.455147019662918,2.1225328567376796,-2.5899999999999994,4.672615656666698,8.034533246983527,4.535562878368831,10.619626706576751,30.374762052528595,5.41499046939678,5.893957685363079,87.73468239792919,48.33934966130636,4.235526234984602,22.029827915475046,0,0,0,0,47.4113029918226,0,15.596629976806003,5.893957685363079,38.716516623942574,19.490579052947837,59.59672914785181,0,11.126902983393991,16.81010466143256,15.596629976806003,4.794537184071822,0,0,0,56.810188597866805,65.82370921646807,44.81495573980143,10.96606844936176,7.105770073176662,2.8236841566564013,0,5.907179729351506,0,25,0,0,0,0,0,0,1,2,1,0,29,40,1,0,14,8,0,4,5,4,0,0,0,0,1,0,2,5,0,16,5,0,0,1,3,0,0,0,0,2,1
"CHEMBL4855810","CC(C)(C)c1ccc(-c2ccc3sc(C(=O)NC4CCNCC4)cc3c2)cc1","IC50","'='",3100,"nM","CHEMBL4523954",40.94565006355245,5.347600000000004,119.31890000000004,210.17064885457975,41.13,392.56799999999964,392.19223451600084,3,2,3,2,3,1,4,28,56,0,0,4,3,1,1,1,1,1,2,0,0,0.375,14.52742035285537,8.323296207623438,6.381904046897904,4.329867087909574,2.873154258900934,21.401226817695626,5.361283320738247,3.3387500807309856,2.076797027312961,-2.1699999999999995,4.930858424579837,7.686500423651458,4.131420247132642,10.619626706576751,24.91879156633304,5.41499046939678,0,84.1763844844416,48.33934966130636,2.8236841566564013,21.21304711432789,0,0,0,11.336785877934737,43.257943801153964,0,10.619626706576751,0,44.73440909229222,12.99371936863189,58.77994834670465,0,11.126902983393991,27.330109738220138,10.619626706576751,4.794537184071822,0,0,11.336785877934737,50.76776989020351,71.35839445323307,34.020707839712486,17.213974199233277,1.4118420783282006,1.4118420783282006,0,5.907179729351506,0,24,0,0,0,0,1,0,1,1,1,0,28,36,1,0,14,8,0,3,4,3,0,0,0,0,1,0,2,4,1,15,5,0,0,1,3,0,0,0,0,2,1
"CHEMBL4861548","NCc1ccc(-c2ncc(OCCC3CCNCC3)nc2-c2ccc(-c3ccoc3)cc2)cc1","IC50","'='",1300,"nM","CHEMBL4523954",135.24151003038247,5.297800000000005,134.20309999999992,242.07659973717955,86.2,454.5739999999997,454.23687620000084,6,3,9,2,6,0,6,34,64,0,0,5,4,1,1,2,1,1,2,0,0,0.2857142857142857,16.60535096292756,9.13174416517758,6.045300315113198,3.9639095197150596,2.479555317784356,23.973384951677453,6.045300315113198,3.9639095197150596,2.479555317784356,-3.4799999999999986,6.388935712586323,10.63316447301296,5.188689264880934,15.766393282814697,29.52066165344259,6.496859684315945,5.893957685363079,61.69270721228114,77.45024378651925,4.235526234984602,33.6416619564849,0,0,5.879988336435371,0,50.40002114243397,0,15.277770395182792,11.613674661089352,25.615634388304084,19.55270461154818,78.59654434116291,0,39.52165029292028,0,20.183544219868043,0,9.967957041894417,0,0,48.33934966130636,55.17577344904039,41.00707538961981,47.35334039230367,12.670971342173502,0,5.879988336435371,0,0,28,0,0,0,0,0,0,1,3,1,1,34,39,0,0,18,11,0,9,8,6,0,0,0,0,0,1,1,3,3,21,5,0,0,1,4,0,0,0,0,0,0
"CHEMBL4297282","CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1sc(-c2ncco2)nc1-c1ccccc1)C1CCCCC1","IC50","'='",300,"nM","CHEMBL4523954",137.25810330412403,4.067600000000003,153.43909999999968,288.25902808960586,129.46,564.7120000000017,564.2518746320011,10,3,11,3,8,3,11,40,76,3,0,5,3,2,2,2,1,1,1,1,1,0.4827586206896552,20.041019606246792,11.152253968300975,7.877083591414509,5.465148338740753,3.7260056350961905,28.177398173873122,6.899562784048604,4.527906230054354,2.8583765168131388,-3.5699999999999994,7.828413491609043,12.73407974349926,6.098747467655933,15.929440059865126,64.11576995044653,14.383611552215466,5.893957685363079,96.69739878021852,47.041354321025324,4.235526234984602,22.15572710542413,0,5.001081976687867,0,11.336785877934737,68.27132107787072,0,25.487493479321646,5.893957685363079,69.51604383165026,18.782499937886566,42.62420338397198,0,22.15572710542413,34.05940704267712,25.24650072776895,14.383611552215466,9.967957041894417,0,0,60.66765412023934,45.21337630825852,43.58775796792802,24.52761468469638,31.75261017757478,7.831307853509167,17.721539188054518,5.890723922025908,0,29,0,0,0,0,1,0,3,3,3,1,40,50,3,0,19,8,0,11,14,10,0,0,0,0,3,0,6,4,4,13,10,0,0,3,2,0,0,0,0,0,0
"CHEMBL4859106","CC(C)(C)c1ccc(-c2ccc3cc(C(=O)NC4CCNCC4)sc3c2)cc1","IC50","'='",32000,"nM","CHEMBL4523954",35.257241834385965,5.347600000000004,119.31890000000006,210.17064885457975,41.13,392.5679999999996,392.1922345160008,3,2,3,2,3,1,4,28,56,0,0,4,3,1,1,1,1,1,2,0,0,0.375,14.52742035285537,8.323296207623438,6.381904046897904,4.329867087909574,2.918450813362909,21.401226817695626,5.361283320738246,3.3387500807309856,2.071062545466952,-2.1699999999999995,4.930858424579837,7.686500423651458,4.131420247132642,10.619626706576751,24.91879156633304,5.41499046939678,0,84.1763844844416,48.33934966130636,2.8236841566564013,21.213047114327885,0,0,0,11.336785877934737,43.25794380115396,0,10.619626706576751,0,44.73440909229222,12.99371936863189,58.77994834670465,0,11.126902983393991,27.330109738220138,10.619626706576751,4.794537184071822,0,0,11.336785877934737,56.810188597866805,65.3159757455698,34.020707839712486,17.213974199233277,1.4118420783282006,1.4118420783282006,0,5.907179729351506,0,24,0,0,0,0,1,0,1,1,1,0,28,36,1,0,14,8,0,3,4,3,0,0,0,0,1,0,2,4,1,15,5,0,0,1,3,0,0,0,0,2,1
"CHEMBL4848479","CC(C)(C)c1ccc(-c2ccc3c(c2)c(C(=O)NCC2CCNCC2)cn3CCCC2CCNCC2)cc1","IC50","'='",14600,"nM","CHEMBL4523954",54.72728546081417,6.1150000000000055,158.8285999999997,293.12545318668583,58.09,514.7579999999996,514.3671620920013,5,3,8,3,4,1,5,38,84,0,0,5,3,2,2,1,2,2,2,0,0,0.5454545454545454,18.697102672463696,10.216585324981741,7.107203547533321,4.525453203324579,2.8416145195478735,33.058226111481616,7.107203547533321,4.525453203324579,2.8416145195478735,-2.6299999999999994,5.733021378226005,12.044696905053659,6.49538005347754,15.929440059865126,42.95857779872259,11.911850153712724,11.787915370726157,133.6572838426484,48.46982616445782,4.235526234984602,22.02982791547505,0,0,0,0,67.97268133437593,0,20.49653970765648,11.787915370726157,70.70507591357604,32.48429842157972,59.59672914785181,0,11.126902983393991,16.81010466143256,20.49653970765648,4.794537184071822,0,0,0,50.76776989020351,110.20308587578059,78.04608897748544,16.529519941058755,2.8236841566564013,1.4118420783282006,0,5.907179729351506,0,33,0,0,0,0,0,0,1,3,1,0,38,59,1,0,20,8,0,8,6,5,0,0,0,0,1,0,2,8,0,17,10,0,0,1,4,0,0,0,0,2,1
"CHEMBL1332616","O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I","IC50","'='",1700,"nM","CHEMBL4523954",98.33285845274955,6.084200000000003,138.89509999999993,230.70135051858088,75.99000000000001,835.8950000000003,835.6550653560003,5,2,2,2,5,0,9,29,37,0,0,5,3,0,2,0,0,2,3,0,0,0.05,22.183092509061513,11.99979454499462,10.310189950943919,7.996145955996029,6.712061683452339,11.501294543569701,5.995193368591276,4.517455181242553,3.3023106463786664,-0.5499999999999994,13.10176834774424,6.980760150163439,2.6800058674100975,4.736862953800049,19.049320984631546,10.337913764783737,14.280729084261585,35.27289448788113,36.25451224597977,0,0,0,0,22.99804733313562,90.36348250827223,32.71043081090766,2.8623993144652684,0,0,5.601050810983688,0,72.78904729702933,0,22.99804733313562,96.33278779622407,19.69134228981452,0,4.794537184071822,0,0,18.127256122989884,108.4907386312621,5.563451491696996,39.1956348963739,11.49902366656781,17.100074477551498,0,2.8623993144652684,5.969305287951849,20,0,0,0,4,0,0,0,0,3,2,29,14,1,0,17,9,0,2,10,5,0,0,0,0,5,2,0,0,2,19,1,0,0,1,4,0,0,0,0,7,3
"CHEMBL3040216","CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1","IC50","'='",47000,"nM","CHEMBL4523954",-186.62258129286215,4.5324000000000035,305.2596000000007,544.4604255751105,485.73,1297.3020000000008,1296.0469075400006,29,6,18,6,23,6,35,86,126,0,0,8,2,0,6,0,0,0,2,0,6,0.1568627450980392,44.92146148201809,29.378136913334163,23.364114851568328,14.467667289499424,9.975991244649089,40.37813691333416,15.465135366001979,9.834674127643947,6.428688019622594,-8.330000000000002,29.37516486456788,23.50317543770431,14.316182377441399,0,141.76690937208318,79.88690989048861,0,120.80093051914295,179.76952526138072,0,18.3974709711759,0,4.794537184071822,0,0,148.41544275586128,8.587197943395806,0,29.954428395814016,71.52326754463874,0,152.4869689302836,0,0,134.44897762834975,0,46.50833275602851,24.7641561146145,60.49159137124495,0,54.4686457143201,73.54880826481914,101.08450260477584,75.80348689416337,9.79096695103555,0,8.587197943395806,84.33748007160735,6.031114512338072,51,0,0,0,0,6,0,6,0,23,0,86,64,23,0,30,16,0,18,52,29,0,0,0,0,17,12,5,8,0,38,6,0,0,0,8,0,0,0,0,4,2
